ID,RegioS,Perioden,Totaal_2,Reactietijd0Tot15Minuten_3,Reactietijd15Tot30Minuten_4,Reactietijd30Tot45Minuten_5,Reactietijd45Tot60Minuten_6,Reactietijd60Tot120Minuten_7,ReactietijdMeerDan120Minuten_8
100,GM1680,2015JJ00,325,214,88,13,5,2,3
113,GM1680,2016JJ00,350,252,75,15,3,4,1
126,GM1680,2017JJ00,370,274,79,11,1,4,1
139,GM1680,2018JJ00,334,245,73,11,2,1,2
152,GM1680,2019JJ00,332,240,74,11,2,4,1
165,GM1680,2020JJ00,318,237,68,10,3,0,0
188,GM0738,2015JJ00,87,50,34,1,0,2,0
201,GM0738,2016JJ00,115,64,41,7,1,1,1
214,GM0738,2017JJ00,98,52,44,0,1,0,1
227,GM0738,2018JJ00,137,71,60,6,0,0,0
240,GM0738,2019JJ00,1,1,0,0,0,0,0
253,GM0738,2020JJ00,0,0,0,0,0,0,0
276,GM0358,2015JJ00,470,383,69,10,2,3,2
289,GM0358,2016JJ00,473,377,72,9,9,4,2
302,GM0358,2017JJ00,455,379,70,4,2,0,0
315,GM0358,2018JJ00,459,380,66,7,1,5,0
328,GM0358,2019JJ00,449,350,77,14,4,4,0
341,GM0358,2020JJ00,443,330,93,7,4,5,4
364,GM0197,2015JJ00,174,136,25,9,2,2,0
377,GM0197,2016JJ00,209,152,47,5,3,1,1
390,GM0197,2017JJ00,200,151,41,8,0,0,0
403,GM0197,2018JJ00,177,142,28,3,2,2,0
416,GM0197,2019JJ00,160,121,31,4,3,1,0
429,GM0197,2020JJ00,121,86,23,8,1,2,1
452,GM0059,2015JJ00,231,134,88,6,1,1,1
465,GM0059,2016JJ00,325,212,97,11,3,2,0
478,GM0059,2017JJ00,217,155,56,2,2,2,0
491,GM0059,2018JJ00,219,159,54,4,1,1,0
504,GM0059,2019JJ00,242,170,64,4,2,2,0
517,GM0059,2020JJ00,228,157,64,4,2,1,0
540,GM0482,2015JJ00,266,248,16,2,0,0,0
553,GM0482,2016JJ00,248,224,15,6,1,1,1
566,GM0482,2017JJ00,255,231,19,2,3,0,0
579,GM0482,2018JJ00,321,274,36,6,2,2,1
592,GM0482,2019JJ00,284,231,42,9,2,0,0
605,GM0482,2020JJ00,291,239,36,6,7,3,0
628,GM0613,2015JJ00,780,547,187,27,9,6,4
641,GM0613,2016JJ00,586,413,131,28,5,4,5
654,GM0613,2017JJ00,301,233,46,11,4,4,3
667,GM0613,2018JJ00,277,215,47,7,3,3,2
680,GM0613,2019JJ00,307,236,56,9,5,1,0
693,GM0613,2020JJ00,345,276,53,7,6,2,1
